name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
public_bucket_allows_listing,Public Bucket Allows Listing,WARN,EXTERNAL,"[""SECURITY""]","Detects public storage buckets with a broad SELECT policy on `storage.objects`, which allows clients to list all files in the bucket.","Public bucket `item-images` has 1 broad SELECT policy on `storage.objects` (Anyone can view item images), allowing clients to list all files. Public buckets don't need this for object URL access and it may expose more data than intended.",https://supabase.com/docs/guides/database/database-linter?lint=0025_public_bucket_allows_listing,"{""name"":""item-images"",""type"":""bucket"",""schema"":""storage"",""bucket_id"":""item-images"",""bucket_name"":""item-images"",""policy_count"":1,""policy_names"":[""Anyone can view item images""]}",public_bucket_allows_listing_item-images
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.adjust_customer_store_credit(p_customer_id uuid, p_amount_change numeric)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/adjust_customer_store_credit`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""adjust_customer_store_credit"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_customer_id uuid, p_amount_change numeric"",""security_definer"":true}","anon_security_definer_function_executable_public_adjust_customer_store_credit_p_customer_id uuid, p_amount_change numeric"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.can_access_logged_in_app()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/can_access_logged_in_app`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""can_access_logged_in_app"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_can_access_logged_in_app_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.chat_messages_after_insert()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/chat_messages_after_insert`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""chat_messages_after_insert"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_chat_messages_after_insert_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.create_gift_card(p_amount numeric, p_recipient_name text, p_recipient_email text, p_from_name text, p_message text, p_purchaser_customer_id uuid, p_purchase_payment_method text, p_purchase_payment_intent_id text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/create_gift_card`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""create_gift_card"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_amount numeric, p_recipient_name text, p_recipient_email text, p_from_name text, p_message text, p_purchaser_customer_id uuid, p_purchase_payment_method text, p_purchase_payment_intent_id text"",""security_definer"":true}","anon_security_definer_function_executable_public_create_gift_card_p_amount numeric, p_recipient_name text, p_recipient_email text, p_from_name text, p_message text, p_purchaser_customer_id uuid, p_purchase_payment_method text, p_purchase_payment_intent_id text"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.create_or_get_direct_thread(p_actor_member_type text, p_actor_user_id uuid, p_actor_employee_id uuid, p_peer_member_type text, p_peer_user_id uuid, p_peer_employee_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/create_or_get_direct_thread`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""create_or_get_direct_thread"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_actor_member_type text, p_actor_user_id uuid, p_actor_employee_id uuid, p_peer_member_type text, p_peer_user_id uuid, p_peer_employee_id uuid"",""security_definer"":true}","anon_security_definer_function_executable_public_create_or_get_direct_thread_p_actor_member_type text, p_actor_user_id uuid, p_actor_employee_id uuid, p_peer_member_type text, p_peer_user_id uuid, p_peer_employee_id uuid"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.current_employee_id()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/current_employee_id`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""current_employee_id"",""schema"":""public"",""language"":""sql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_current_employee_id_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.current_user_is_member_of_thread(p_thread_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/current_user_is_member_of_thread`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""current_user_is_member_of_thread"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_thread_id uuid"",""security_definer"":true}",anon_security_definer_function_executable_public_current_user_is_member_of_thread_p_thread_id uuid
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.get_chat_admin_contacts()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_chat_admin_contacts`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""get_chat_admin_contacts"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_get_chat_admin_contacts_
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.get_gift_card_by_code(p_code text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_gift_card_by_code`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""get_gift_card_by_code"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_code text"",""security_definer"":true}",anon_security_definer_function_executable_public_get_gift_card_by_code_p_code text
